Species_name	References
"""Teesdalia nudicaulis (L.) W. T. Aiton"""	"""Schubert et al. (1987)"""
"""Telekia speciosa (Schreb.) Baumg."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Tephroseris crispa (Jacq.) Rchb."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Tephroseris helenitis (L.) B. Nord."""	"""Schmidt (1986)"""
"""Tephroseris integrifolia (L.) Holub"""	"""Smith (1979)"""
"""Tephroseris palustris (L.) Rchb.."""	"""Schubert et al. (1987)"""
"""Tephroseris tenuifolia (Gaudin) Holub"""	"""Schubert et al. (1987)"""
"""Teucrium botrys L."""	"""Schubert et al. (1987)"""
"""Teucrium chamaedrys L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Teucrium montanum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Teucrium scordium L."""	"""Jäger and Werner (2002)"""
"""Teucrium scorodonia L."""	"""Grime et al. (1988); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Thalictrum alpinum L."""	"""Klimešová, pers. obs."""
"""Thalictrum aquilegiifolium L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Thalictrum flavum L."""	"""Schubert et al. (1987)"""
"""Thalictrum lucidum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Thalictrum minus L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Thalictrum simplex L."""	"""Schubert et al. (1987)"""
"""Thalictrum simplex subsp. galioides (DC.) Korsh."""	"""Schubert et al. (1987)"""
"""Thelypteris limbosperma (All.) H. P. Fuchs"""	"""Schubert et al. (1987)"""
"""Thelypteris palustris Schott"""	"""Schubert et al. (1987); Troll (1941-1942)"""
"""Thesium alpinum L."""	"""Schubert et al. (1987)"""
"""Thesium bavarum Schrank"""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Thesium ebracteatum Hayne"""	"""Schubert et al. (1987)"""
"""Thesium linophyllon L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Thesium pyrenaicum Pourr."""	"""Schubert et al. (1987)"""
"""Thesium ramosum Hayne"""	"""Klimešová, pers. obs."""
"""Thesium rostratum Mert. et W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Thlaspi alliaceum L."""	"""Schubert et al. (1987)"""
"""Thlaspi arvense L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Thymelaea passerina (L.) Coss. et Germ."""	"""Schubert et al. (1987)"""
"""Thymus pannonicus All."""	"""Schubert et al. (1987)"""
"""Thymus praecox Opiz"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Thymus praecox subsp. arcticus (Durand) Jalas"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Thymus pulegioides L."""	"""Kutschera and Lichtenegger (1992); Pigott (1955c); Schubert et al. (1987); Klimešová, pers. obs."""
"""Thymus serpyllum L."""	"""Pigott (1955a, b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Thymus vulgaris L."""	"""Schubert et al. (1987)"""
"""Tilia cordata Mill."""	"""Chistyakova (1978); Pigott (1991)"""
"""Tilia platyphyllos Scop."""	"""Klimešová, pers. obs."""
"""Tillaea aquatica L."""	"""Schubert et al. (1987)"""
"""Tofieldia calyculata (L.) Wahlenb."""	"""Irmisch (1850); Kutschera and Lichtenegger (1982); Loew and Kirchner (1934j); Schubert et al. (1987); Klimešová, pers. obs."""
"""Tofieldia pusilla (Michx.) Pers."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Tolpis staticifolia (All.) Sch. Bip."""	"""Reichardt (1857); Schubert et al. (1987)"""
"""Tordylium maximum L."""	"""Schubert et al. (1987)"""
"""Torilis arvensis (Huds.) Link"""	"""Schubert et al. (1987)"""
"""Torilis japonica (Houtt.) DC."""	"""Schubert et al. (1987)"""
"""Torilis nodosa (L.) Gaertn."""	"""Schubert et al. (1987)"""
"""Tragopogon dubius Scop."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Tragopogon orientalis L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Tragopogon porrifolius autori"""	"""Beijerinck (1887)"""
"""Tragopogon pratensis L."""	"""Schubert et al. (1987)"""
"""Tragopogon pratensis subsp. minor (Mill.) Wahlenb."""	"""Schubert et al. (1987)"""
"""Tragus racemosus (L.) All."""	"""Schubert et al. (1987); Volkart et al. (1908)"""
"""Trapa natans L."""	"""Groth et al. (1996); Schubert et al. (1987)"""
"""Traunsteinera globosa (L.) Rchb."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Trichophorum alpinum (L.) Pers."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Trichophorum cespitosum (L.) Hartm."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Trientalis europaea L."""	"""Dong et al. (1997); Möbius (1940); Picqueras (1999); Piqueras and Klimeš (1998); Serebrjakov (1952); Schubert et al. (1987); Taylor et al. (2002); Troll (1941-1942)"""
"""Trifolium alpestre L."""	"""Christiansen (1938-42); Jäger and Reckardt (1998); Rauh (1937); Klimešová, pers. obs."""
"""Trifolium alpinum L."""	"""Christiansen (1938-42)"""
"""Trifolium arvense L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Trifolium aureum Pollich"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Trifolium badium Schreb."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Trifolium campestre Schreb."""	"""Hilligardt and Weberling (1989); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Trifolium dubium Sibth."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Trifolium fragiferum L."""	"""Christiansen (1938-42); Hilligardt and Weberling (1989); Huber and Wiggerman (1997); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Trifolium hybridum L."""	"""Christiansen (1938-42); Hilligardt and Weberling (1989); Schubert et al. (1987)"""
"""Trifolium incarnatum L."""	"""Christiansen (1938-42); Hilligardt and Weberling (1989); Schubert et al. (1987)"""
"""Trifolium lupinaster L."""	"""Christiansen (1938-42)"""
"""Trifolium medium L."""	"""Grime et al. (1988); Hilligardt and Weberling (1989); Christiansen (1938-42); Jäger and Reckardt (1998); Kutschera and Lichtenegger (1992)"""
"""Trifolium micranthum Viv."""	"""Schubert et al. (1987)"""
"""Trifolium montanum L."""	"""Golubeva and Golubev (1964); Hilligardt and Weberling (1989); Christiansen (1938-42); Jäger and Werner (2002); Kutschera and Lichtenegger (1982); Rysin and Rysina (1987); Schubert et al. (1987); Klimešová, pers. obs."""
"""Trifolium noricum Wulfen"""	"""Christiansen (1938-42)"""
"""Trifolium ochroleucon Huds."""	"""Christiansen (1938-42); Schubert et al. (1987); Klimešová, pers. obs."""
"""Trifolium ornithopodioides L."""	"""Christiansen (1938-42)"""
"""Trifolium pallescens Schreb."""	"""Christiansen (1938-42)"""
"""Trifolium pannonicum Jacq."""	"""Lukasiewicz (1962)"""
"""Trifolium pratense L."""	"""Christiansen (1938-42); Hilligardt and Weberling (1989); Kirillova (1988); Kutschera (1960); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Trifolium repens L."""	"""Benneker (1915); Burdon (1983); Bülow-Olsen et al. (1984); Chapman (1983); Christiansen (1938-42); Grime et al. (1988); Hay and Newton (1996); Hilligardt and Weberling (1989); Kutschera (1960); Sawada (1999); Schubert et al. (1987); Turkington and Burdon (1983); Klimešová, pers. obs."""
"""Trifolium resupinatum L."""	"""Hilligardt and Weberling (1989); Schubert et al. (1987)"""
"""Trifolium retusum L."""	"""Schubert et al. (1987)"""
"""Trifolium rubens L."""	"""Christiansen (1938-42); Hilligardt and Weberling (1989); Jäger and Reckardt (1998); Klimešová, pers. obs."""
"""Trifolium saxatile All."""	"""Christiansen (1938-42)"""
"""Trifolium scabrum L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Trifolium spadiceum L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Trifolium striatum L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Trifolium subterraneum L."""	"""Kutschera and Lichtenegger (1992)"""
"""Trifolium thalii Vill."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Triglochin maritima L."""	"""Davy and Bishop (1991); Irmisch (1850); Kutschera and Lichtenegger (1982); Loew (1908b); Schubert et al. (1987)"""
"""Triglochin palustris L."""	"""Davy and Bishop (1991); Irmisch (1850); Kutschera and Lichtenegger (1982); Loew (1908b); Schubert et al. (1987)"""
"""Trigonella caerulea (L.) Ser."""	"""Schubert et al. (1987)"""
"""Trigonella foenum-graecum L."""	"""Schubert et al. (1987)"""
"""Trinia glauca (L.) Dumort."""	"""Kutschera and Lichtenegger (1982); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Tripleurospermum inodorum (L.) Sch. Bip."""	"""Jäger and Werner (2002); Kay (1994); Schubert et al. (1987)"""
"""Tripolium pannonicum (Jacq.) Dobrocz."""	"""Clapham et al. (1942); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Trisetum argenteum (Willd.) Roem. & Schult."""	"""Klimešová, pers. obs."""
"""Trisetum distichophyllum agg."""	"""Hartmann (1957); Hess (1909); Schubert et al. (1987)"""
"""Trisetum flavescens (L.) P. Beauv."""	"""Dixon (1995); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987)"""
"""Trisetum spicatum subsp. ovatipaniculatum Hultén ex Jonsell"""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Triticum aestivum L."""	"""Schubert et al. (1987)"""
"""Trollius altissimus Crantz"""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Ziman (1983); Klimešová, pers. obs."""
"""Tuberaria guttata (L.) Fourr."""	"""Proctor (1960); Schubert et al. (1987)"""
"""Tulipa sylvestris L."""	"""Irmisch (1850); Loew and Kirchner (1934k); Schubert et al. (1987); Velenovský (1904)"""
"""Tulipa x gesneriana L."""	"""Schubert et al. (1987); Troll (1941-1942)"""
"""Turgenia latifolia (L.) Hoffm."""	"""Schubert et al. (1987)"""
"""Turritis glabra L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Tussilago farfara L."""	"""Bakker (1960); Grime et al. (1988); Ogden (1974); Schmidt (1986); Schubert et al. (1987); Whitehead and Myerscough (1966); Klimešová, pers. obs."""
"""Typha angustifolia L."""	"""Fiala (1978); Grace and Harrison (1986); Loew (1908b); Schubert et al. (1987)"""
"""Typha latifolia L."""	"""Dickerman and Wetze (1985); Fiala (1978); Grace and Harrison (1986); Grime et al. (1988); Loew (1908b); Schubert et al. (1987)"""
"""Typha minima Hoppe"""	"""Schubert et al. (1987)"""
"""Typha shuttleworthii W. D. J. Koch et Sond."""	"""Schubert et al. (1987)"""
"""Typha x glauca Godr."""	"""Grace and Harrison (1986)"""
"""Ulex gallii Planch."""	"""Stokes et al. (2003)"""
"""Ulex minor Roth"""	"""Stokes et al. (2003)"""
"""Ulmus glabra Huds."""	"""Grime et al. (1988); Jäger and Werner (2002)"""
"""Ulmus laevis Pall."""	"""Beijerinck (1887)"""
"""Ulmus minor Mill."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Urtica cannabina L."""	"""Lukasiewicz (1962)"""
"""Urtica dioica L."""	"""Greig-Smith (1948a); Grime et al. (1988); Kutschera (1960); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Olsen (1921); Schubert et al. (1987); Šrùtek (1995); Šrùtek and Teckelmann (1998); Klimešová, pers. obs."""
"""Urtica kioviensis Rogow."""	"""Schubert et al. (1987)"""
"""Urtica pilulifera L."""	"""Schubert et al. (1987)"""
"""Urtica urens L."""	"""Greig-Smith (1948b); Schubert et al. (1987)"""
"""Utricularia australis R. Br."""	"""Glück (1906); Jäger and Werner (2002)"""
"""Utricularia bremii Heer"""	"""Glück (1906); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Utricularia intermedia Hayne"""	"""Glück (1906); Jäger and Werner (2002)"""
"""Utricularia minor agg. """	"""Glück (1906); Jäger and Werner (2002)"""
"""Utricularia ochroleuca R. W. Hartm."""	"""Glück (1905); Glück (1906); Jäger and Werner (2002)"""
"""Utricularia vulgaris L."""	"""Bartley and Spence (1987); Glück (1906); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Vaccaria hispanica (Mill.) Rauschert"""	"""Schubert et al. (1987)"""
"""Vaccinium macrocarpon Aiton"""	"""Jacquemart (1997); Schubert et al. (1987)"""
"""Vaccinium microcarpum (Rupr.) Schmalh."""	"""Schubert et al. (1987)"""
"""Vaccinium myrtillus L."""	"""Grevillius and Kirchner (1923); Grime et al. (1988); Ritchie (1956); Schubert et al. (1987); Warming (1908); Klimešová, pers. obs."""
"""Vaccinium oxycoccos L."""	"""Grevillius and Kirchner (1923); Jacquemart (1997); Schubert et al. (1987); Warming (1908)"""
"""Vaccinium uliginosum L."""	"""Grevillius and Kirchner (1923); Jacquemart (1996); Maillette (1988); Salemaa et al. (1999); Schubert et al. (1987); Warming (1908); Klimešová, pers. obs."""
"""Vaccinium vitis-idaea L."""	"""Grevillius and Kirchner (1923); Grime et al. (1988); Ritchie (1955); Schubert et al. (1987); Warming (1908); Klimešová, pers. obs."""
"""Valeriana celtica L."""	"""Klimešová, pers. obs."""
"""Valeriana dioica L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Valeriana elongata Jacq."""	"""Klimešová, pers. obs."""
"""Valeriana excelsa subsp. sambucifolia (J. C. Mikan ex Pohl) Holub"""	"""Grime et al. (1988)"""
"""Valeriana montana L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Valeriana officinalis agg. """	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Valeriana saxatilis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Valeriana supina Ard."""	"""Hartmann (1957); Schubert et al. (1987); Klimešová, pers. obs."""
"""Valeriana tripteris L."""	"""Schubert et al. (1987)"""
"""Valerianella carinata Loisel."""	"""Schubert et al. (1987)"""
"""Valerianella coronata (L.) DC."""	"""Schubert et al. (1987)"""
"""Valerianella dentata (L.) Pollich"""	"""Schubert et al. (1987)"""
"""Valerianella eriocarpa Desv."""	"""Schubert et al. (1987)"""
"""Valerianella locusta (L.) Laterr."""	"""Schubert et al. (1987)"""
"""Valerianella rimosa Bastard"""	"""Schubert et al. (1987)"""
"""Vallisneria spiralis L."""	"""Graebner and Kirchner (1908); Schratt (1978); Schubert et al. (1987)"""
"""Ventenata dubia (Leers) Coss."""	"""Schubert et al. (1987)"""
"""Veratrum album L. subsp. album """	"""Kleijn and Steinger(2002); Kutschera and Lichtenegger (1982); Loew and Kirchner (1934l); Schubert et al. (1987); Troll (1941-1942)"""
"""Veratrum nigrum L."""	"""Irmisch (1850); Loew and Kirchner (1934l)"""
"""Verbascum blattaria L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Verbascum densiflorum Bertol."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Verbascum lychnitis L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Verbascum nigrum L."""	"""Jäger and Werner (2002); Schubert et al. (1987); Klimešová, pers. obs."""
"""Verbascum phlomoides L."""	"""Schubert et al. (1987)"""
"""Verbascum phoeniceum L."""	"""Jäger and Werner (2002); Schubert et al. (1987); Klimešová, pers. obs."""
"""Verbascum pulverulentum Vill."""	"""Schubert et al. (1987)"""
"""Verbascum thapsus L."""	"""Jäger and Werner (2002); Schubert et al. (1987); Schubert et al. (1987)"""
"""Verbena officinalis L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Veronica acinifolia L."""	"""Schubert et al. (1987)"""
"""Veronica agrestis L."""	"""Schubert et al. (1987)"""
"""Veronica alpina L."""	"""Hartmann (1957); Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica anagallis-aquatica agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica anagalloides Guss."""	"""Schubert et al. (1987)"""
"""Veronica aphylla L."""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica arvensis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica austriaca L."""	"""Schubert et al. (1987)"""
"""Veronica beccabunga L."""	"""Glück (1911); Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica bellidioides L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica catenata Pennell"""	"""Schubert et al. (1987)"""
"""Veronica chamaedrys L."""	"""Boutin and Harper (1991); Kutschera and Lichtenegger (1992); Serebriakov (1962); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Veronica dillenii Crantz"""	"""Schubert et al. (1987)"""
"""Veronica filiformis Sm."""	"""Schubert et al. (1987)"""
"""Veronica fruticans Jacq."""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica fruticulosa L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica hederifolia agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica maritima L."""	"""Lukasiewicz (1962); Serebriakov and Serebriakova (1965); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica montana L."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica officinalis L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Serebriakov (1962); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Veronica opaca Fr."""	"""Schubert et al. (1987)"""
"""Veronica peregrina L. subsp. peregrina """	"""Schubert et al. (1987)"""
"""Veronica persica Poir."""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Veronica polita Fr."""	"""Schubert et al. (1987)"""
"""Veronica praecox All."""	"""Schubert et al. (1987)"""
"""Veronica prostrata L."""	"""Schubert et al. (1987)"""
"""Veronica scutellata L."""	"""Schubert et al. (1987)"""
"""Veronica serpyllifolia L."""	"""Boutin and Harper (1991); Kutschera (1960); Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica spicata L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Wilson et al. (2000)"""
"""Veronica spuria L."""	"""Schubert et al. (1987)"""
"""Veronica teucrium L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica triphyllos L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica urticifolia Jacq."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Veronica verna L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Viburnum lantana L."""	"""Kollmann and Grubb (2002)"""
"""Viburnum opulus L."""	"""Kollmann and Grubb (2002); Vakhramejeva (1978)"""
"""Vicia articulata Hornem."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Vicia cassubica L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Vicia cracca L."""	"""Aaarsen et al. (1986); Christiansen (1938-42); Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Vicia dumetorum L."""	"""Christiansen (1938-42); Schubert et al. (1987); Klimešová, pers. obs."""
