"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Taxus baccata","Taxus baccata","wfo-0000408637","species","L.","Taxaceae","Taxus","Accepted","MATCH"
"Teesdalia nudicaulis","Teesdalia nudicaulis","wfo-0000411015","species","(L.) W.T.Aiton","Brassicaceae","Teesdalia","Accepted","MATCH"
"Teloxys aristata","Teloxys aristata","wfo-0000407046","species","(L.) Moq.","Chenopodiaceae","Teloxys","Accepted","MATCH"
"Teucrium","Teucrium","wfo-4000038030","genus","L.","Lamiaceae","Teucrium","Accepted","MATCH"
"Teucrium botrys","Teucrium botrys","wfo-0000321904","species","L.","Lamiaceae","Teucrium","Accepted","MATCH"
"Teucrium chamaedrys","Teucrium chamaedrys","wfo-0000321975","species","L.","Lamiaceae","Teucrium","Accepted","MATCH"
"Teucrium polium","Teucrium polium","wfo-0000322436","species","L.","Lamiaceae","Teucrium","Accepted","MATCH"
"Teucrium scorodonia","Teucrium scorodonia","wfo-0000322618","species","L.","Lamiaceae","Teucrium","Accepted","MATCH"
"Thalictrum flavum","Thalictrum flavum","wfo-0000454062","species","L.","Ranunculaceae","Thalictrum","Accepted","MATCH"
"Thalictrum lucidum","Thalictrum lucidum","wfo-0000453840","species","L.","Ranunculaceae","Thalictrum","Accepted","MATCH"
"Thalictrum minus","Thalictrum minus","wfo-0000453930","species","L.","Ranunculaceae","Thalictrum","Accepted","MATCH"
"Thapsia","Thapsia","wfo-4000038086","genus","L.","Apiaceae","Thapsia","Accepted","MATCH"
"Thesium dollineri","Thesium dollineri","wfo-0000454847","species","Murb. ex Velen.","Santalaceae","Thesium","Accepted","MATCH"
"Thesium humile","Thesium humile","wfo-0000454689","species","Vahl","Santalaceae","Thesium","Accepted","MATCH"
"Thlapsi arvense","Thlaspi arvense","wfo-0000410873","species","L.","Brassicaceae","Thlaspi","Accepted","FUZZY"
"Thlaspi","Thlaspi","wfo-4000038223","genus","L.","Brassicaceae","Thlaspi","Accepted","MATCH"
