"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Silene dichotoma","Silene dichotoma","Européen méridional","Blanc, rose","Anémochore","","Cyme bipare","Entomogame"
"Silene dioica","Silene dioica","Atlantique(eury)","Rose","Anémochore","","Cyme bipare","Entomogame"
"Silene flos-cuculi","Lychnis flos-cuculi","Eurasiatique","Rose","Anémochore","","Cyme bipare","Entomogame"
"Silene gallica","Silene gallica","Cosmopolite","Blanc, rose","Anémochore","5-9","Cyme bipare","Entomogame, autogame"
"Silene italica","Silene italica","Méditerranéen","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silene italica sicula","Silene italica","Méditerranéen","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silene latifolia","Silene latifolia","Européen tempéré","Blanc, rose","Anémochore","","Cyme bipare","Entomogame"
"Silene latifolia alba","Silene latifolia subsp. alba","Européen tempéré","Blanc","Anémochore","5-7","Cyme bipare","Entomogame"
"Silene muscipula","Silene muscipula","Méditerranéen","Rose","Anémochore","","Cyme bipare","Entomogame"
"Silene nicaeensis","Silene nicaeensis","Méditerranéen","Blanc","Anémochore","4-6","Cyme bipare","Entomogame"
"Silene noctiflora","Silene noctiflora","Eurasiatique","Rose","Anémochore","7-9","Cyme bipare","Entomogame"
"Silene nocturna","Silene nocturna","Méditerranéen","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silene nutans","Silene nutans","Européen tempéré","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silene nutans nutans","Silene nutans subsp. nutans","Européen tempéré","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silene stricta",NA,NA,NA,NA,NA,NA,NA
"Silene vulgaris","Silene vulgaris","Cosmopolite","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Silphium perfoliatum","Silphium perfoliatum","Introduit (amér. du nord or.)","","","","",""
"Silybum","Silybum marianum","Méditerranéen(eury)","Rose","Anémochore","6-8","Racème de capitules","Entomogame, autogame"
"Silybum marianum","Silybum marianum","Méditerranéen(eury)","Rose","Anémochore","6-8","Racème de capitules","Entomogame, autogame"
"Sinapis","Sinapis alba","Cosmopolite","Jaune","Épizoochore","","Racème simple","Entomogame"
"Sinapis alba","Sinapis alba","Cosmopolite","Jaune","Épizoochore","","Racème simple","Entomogame"
"Sinapis alba alba","Sinapis alba","Cosmopolite","Jaune","Épizoochore","","Racème simple","Entomogame"
"Sison","Sison amomum_Sison segetum","Européen méridional_Européen occidental","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Sison amomum","Sison amomum","Européen méridional","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Sison segetum","Sison segetum","Européen occidental","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Sisymbrella aspera","Sisymbrella aspera","Méditerranéen occidental","Jaune","Barochore","","Racème simple","Entomogame"
"Sisymbrium","Sisymbrium altissimum_Sisymbrium austriacum_Sisymbrium irio_Sisymbrium loeselii_Sisymbrium officinale_Sisymbrium orientale_Sisymbrium runcinatum","Cosmopolite_Européen méridional_Européen oriental_Européen tempéré_Méditerranéen_Méditerranéen occidental_Orophyte méridional","Jaune","Anémochore_Barochore","4-7_5-6_5-9_6-8","Racème simple","Autogame_Entomogame_Entomogame, autogame"
"Sisymbrium altissimum","Sisymbrium altissimum","Européen oriental","Jaune","Anémochore","5-6","Racème simple","Entomogame"
"Sisymbrium austriacum","Sisymbrium austriacum","Orophyte méridional","Jaune","Barochore","","Racème simple","Entomogame"
"Sisymbrium irio","Sisymbrium irio","Européen tempéré","Jaune","Anémochore","4-7","Racème simple","Entomogame"
"Sisymbrium loeselii","Sisymbrium loeselii","Européen méridional","Jaune","Barochore","5-9","Racème simple","Entomogame"
"Sisymbrium officinale","Sisymbrium officinale","Cosmopolite","Jaune","Anémochore","","Racème simple","Autogame"
"Sisymbrium orientale","Sisymbrium orientale","Méditerranéen","Jaune","Barochore","","Racème simple","Entomogame, autogame"
"Sisymbrium runcinatum","Sisymbrium runcinatum","Méditerranéen occidental","Jaune","Barochore","6-8","Racème simple","Entomogame"
"Smilax aspera","Smilax aspera","Méditerranéen","Jaune","Endozoochore","8-10","Racème d'ombelles","Entomogame"
"Smyrnium olusatrum","Smyrnium olusatrum","Méditerranéen-atlantique","Jaune","Barochore","4-7","Ombelle d'ombellules","Entomogame"
"Solanum","Solanum chenopodioides_Solanum dulcamara_Solanum lycopersicum_Solanum nigrum_Solanum physalifolium_Solanum tuberosum_Solanum villosum","Cosmopolite_Eurasiatique méridional_Introduit (amér. du sud)","Blanc_Bleu_Bleu, blanc_Jaune","Endozoochore","6-9","Cyme bipare_Cyme unipare hélicoïde_Cyme unipare scorpioïde","Entomogame"
"Solanum americanum",NA,NA,NA,NA,NA,NA,NA
"Solanum chenopodioides","Solanum chenopodioides","Introduit (amér. du sud)","Blanc","Endozoochore","","Cyme unipare scorpioïde","Entomogame"
"Solanum dulcamara","Solanum dulcamara","Eurasiatique méridional","Bleu","Endozoochore","","Cyme bipare","Entomogame"
"Solanum lycopersicum","Solanum lycopersicum","Introduit (amér. du sud)","Jaune","Endozoochore","","Cyme unipare hélicoïde","Entomogame"
"Solanum nigrum","Solanum nigrum","Cosmopolite","","Endozoochore","","Cyme unipare scorpioïde","Entomogame"
"Solanum physalifolium","Solanum physalifolium","Introduit (amér. du sud)","","Endozoochore","","Cyme unipare scorpioïde","Entomogame"
"Solanum tuberosum","Solanum tuberosum","Introduit (amér. du sud)","Bleu, blanc","Endozoochore","6-9","Cyme unipare scorpioïde","Entomogame"
"Solanum villosum","Solanum villosum","Cosmopolite","","Endozoochore","","Cyme unipare scorpioïde","Entomogame"
"Solidago","Solidago canadensis_Solidago gigantea_Solidago virgaurea","Holarctique_Introduit (amér. du nord)","Jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Solidago canadensis","Solidago canadensis","Introduit (amér. du nord)","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Solidago gigantea","Solidago gigantea","Introduit (amér. du nord)","Jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Solidago virgaurea","Solidago virgaurea","Holarctique","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Sonchus","Sonchus arvensis_Sonchus arvensis subsp. arvensis_Sonchus arvensis subsp. uliginosus_Sonchus asper_Sonchus asper subsp. asper_Sonchus asper subsp. glaucescens_Sonchus oleraceus_Sonchus tenerrimus","Cosmopolite_Méditerranéen","Jaune","Barochore","4-8_5-6_6-10_7-8","Racème de capitules","Entomogame_Entomogame, autogame"
"Sonchus arvensis","Sonchus arvensis","Cosmopolite","Jaune","Barochore","","Racème de capitules","Entomogame, autogame"
"Sonchus arvensis arvensis","Sonchus arvensis subsp. arvensis","Cosmopolite","Jaune","Barochore","7-8","Racème de capitules","Entomogame, autogame"
"Sonchus arvensis uliginosus","Sonchus arvensis subsp. uliginosus","Cosmopolite","Jaune","Barochore","7-8","Racème de capitules","Entomogame, autogame"
"Sonchus asper","Sonchus asper","Cosmopolite","Jaune","Barochore","","Racème de capitules","Entomogame"
"Sonchus asper asper","Sonchus asper subsp. asper","Cosmopolite","Jaune","Barochore","6-10","Racème de capitules","Entomogame"
"Sonchus asper glaucescens","Sonchus asper subsp. glaucescens","Méditerranéen","Jaune","Barochore","5-6","Racème de capitules","Entomogame"
"Sonchus oleraceus","Sonchus oleraceus","Cosmopolite","Jaune","Barochore","6-10","Racème de capitules","Entomogame"
"Sonchus tenerrimus","Sonchus tenerrimus","Méditerranéen","Jaune","Barochore","4-8","Racème de capitules","Entomogame"
"Sorbus","Sorbus aucuparia_Sorbus aucuparia subsp. aucuparia","Eurasiatique","Blanc","Endozoochore","5-7","Corymbe","Entomogame"
"Sorbus aucuparia","Sorbus aucuparia","Eurasiatique","Blanc","Endozoochore","","Corymbe","Entomogame"
"Sorbus aucuparia aucuparia","Sorbus aucuparia subsp. aucuparia","Eurasiatique","Blanc","Endozoochore","5-7","Corymbe","Entomogame"
"Sorghum","Sorghum bicolor_Sorghum halepense","Cosmopolite(thermo)","Rose_Vert, jaune, rose","Épizoochore","7-10_7-9","Panicule d'épillets","Anémogame"
"Sorghum bicolor","Sorghum bicolor","Cosmopolite(thermo)","Vert, jaune, rose","Épizoochore","7-10","Panicule d'épillets","Anémogame"
"Sorghum halepense","Sorghum halepense","Cosmopolite(thermo)","Rose","Épizoochore","7-9","Panicule d'épillets","Anémogame"
"Sparganium erectum","Sparganium erectum","Eurasiatique","Vert","Hydrochore","","Épi de capitules","Autogame"
"Spergula","Spergula arvensis_Spergula morisonii_Spergula pentandra_Spergula rubra_Spergula segetalis","Atlantique(eury)_Cosmopolite_Eurasiatique_Européen méridional_Européen septentrional","Blanc_Rose","Anémochore_Barochore","3-5_4-6_5-7_5-8","Cyme bipare","Entomogame_Entomogame, autogame"
"Spergula arvensis","Spergula arvensis","Cosmopolite","Blanc","Anémochore","","Cyme bipare","Entomogame, autogame"
"Spergula arvensis chieusseana","Spergula arvensis","Cosmopolite","Blanc","Anémochore","","Cyme bipare","Entomogame, autogame"
"Spergula morisonii","Spergula morisonii","Atlantique(eury)","Blanc","Anémochore","4-6","Cyme bipare","Entomogame"
"Spergula pentandra","Spergula pentandra","Européen méridional","Blanc","Anémochore","3-5","Cyme bipare","Entomogame"
"Spergula rubra","Spergula rubra","Eurasiatique","Rose","Barochore","5-8","Cyme bipare","Entomogame, autogame"
"Spergula segetalis","Spergula segetalis","Européen septentrional","Blanc","Barochore","5-7","Cyme bipare",""
"Spergularia","Spergula diandra_Spergula media","Cosmopolite_Méditerranéen méridional","Rose","Anémochore_Barochore","5-7","Cyme bipare","Entomogame"
"Spergularia diandra","Spergula diandra","Méditerranéen méridional","Rose","Barochore","5-7","Cyme bipare","Entomogame"
"Spergularia media","Spergula media","Cosmopolite","Rose","Anémochore","","Cyme bipare","Entomogame"
"Spergularia rubra",NA,NA,NA,NA,NA,NA,NA
"Spergularia segetalis",NA,NA,NA,NA,NA,NA,NA
"Sporobolus","Sporobolus indicus","Introduit (australie)","Vert, rose","Barochore","6-9","Épi d'épillets","Anémogame"
"Sporobolus indicus","Sporobolus indicus","Introduit (australie)","Vert, rose","Barochore","6-9","Épi d'épillets","Anémogame"
"Stachys","Stachys annua_Stachys arvensis_Stachys germanica_Stachys germanica subsp. germanica_Stachys palustris_Stachys recta_Stachys recta subsp. labiosa_Stachys sylvatica","Circumboréal_Eurasiatique septentrional_Européen méridional_Méditerranéen(eury)","Blanc_Rose","Épizoochore","3-10_6-10_6-9","Glomérules_Glomérules spiciformes","Autogame_Entomogame"
"Stachys annua","Stachys annua","Méditerranéen(eury)","Blanc","Épizoochore","6-10","Glomérules","Entomogame"
"Stachys arvensis","Stachys arvensis","Européen méridional","Blanc","Épizoochore","3-10","Glomérules","Autogame"
"Stachys germanica","Stachys germanica","Européen méridional","Rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Stachys germanica germanica","Stachys germanica subsp. germanica","Européen méridional","Rose","Épizoochore","6-9","Glomérules spiciformes","Entomogame"
"Stachys officinalis",NA,NA,NA,NA,NA,NA,NA
"Stachys palustris","Stachys palustris","Circumboréal","Rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Stachys recta","Stachys recta","Européen méridional","Blanc","Épizoochore","","Glomérules spiciformes","Entomogame"
"Stachys recta labiosa","Stachys recta subsp. labiosa","Européen méridional","Blanc","Épizoochore","","Glomérules spiciformes","Entomogame"
"Stachys sylvatica","Stachys sylvatica","Eurasiatique septentrional","Rose","Épizoochore","6-9","Glomérules spiciformes","Entomogame"
"Stellaria","Myosoton aquaticum_Stellaria alsine_Stellaria graminea_Stellaria media_Stellaria neglecta_Stellaria pallida_Stellaria palustris","Circumboréal_Cosmopolite_Eurasiatique_Méditerranéen(eury)_Méditerranéen(eury)-atlantique(eury)","Blanc","Barochore","3-5_4-6_6-10_6-7_6-9","Cyme bipare","Entomogame"
"Stellaria aquatica","Myosoton aquaticum","Eurasiatique","Blanc","Barochore","6-10","Cyme bipare","Entomogame"
"Stellaria graminea","Stellaria graminea","Eurasiatique","Blanc","Barochore","6-7","Cyme bipare","Entomogame"
"Stellaria media","Stellaria media","Cosmopolite","Blanc","Barochore","","Cyme bipare","Entomogame"
"Stellaria neglecta","Stellaria neglecta","Méditerranéen(eury)-atlantique(eury)","Blanc","Barochore","4-6","Cyme bipare","Entomogame"
"Stellaria pallida","Stellaria pallida","Méditerranéen(eury)","Blanc","Barochore","3-5","Cyme bipare","Entomogame"
"Stellaria palustris","Stellaria palustris","Eurasiatique","Blanc","Barochore","6-7","Cyme bipare","Entomogame"
"Stellaria uliginosa","Stellaria alsine","Circumboréal","Blanc","Barochore","6-9","Cyme bipare","Entomogame"
"Stipa capillata","Stipa capillata","Eurasiatique méridional","Vert","Anémochore","6-11","Panicule d'épillets","Anémogame"
"Stipellula capensis","Stipella capensis","Méditerranéen","Blanc","Anémochore","4-6","Panicule d'épillets","Anémogame"
"Strigosella africana","Malcolmia africana","Méditerranéen","Bleu","Épizoochore","4-5","Racème simple","Entomogame"
"Succisa pratensis","Succisa pratensis","Eurasiatique septentrional","Bleu","Épizoochore","7-10","Cyme capituliforme","Entomogame"
"Succowia balearica","Succowia balearica","Méditerranéen occidental","Jaune","Épizoochore","2-5","Racème simple","Entomogame"
"Symphoricarpos albus","Symphoricarpos albus","Introduit (amér. du nord)","Rose","Endozoochore","","Cyme multipare","Entomogame"
"Symphyotrichum","Symphyotrichum lanceolatum","Introduit (amér. du nord)","Blanc, jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Symphyotrichum lanceolatum","Symphyotrichum lanceolatum","Introduit (amér. du nord)","Blanc, jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Symphytum","Symphytum officinale_Symphytum officinale subsp. officinale_Symphytum orientale_Symphytum tuberosum","Européen_Européen méridional_Introduit (asie occ.)","Blanc_Bleu, blanc, rose","Épizoochore_Hydrochore","5_5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Symphytum officinale","Symphytum officinale","Européen","Bleu, blanc, rose","Hydrochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Symphytum officinale officinale","Symphytum officinale subsp. officinale","Européen","Bleu, blanc, rose","Hydrochore","5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Symphytum orientale","Symphytum orientale","Introduit (asie occ.)","Blanc","Épizoochore","5","Racème de cymes unipares scorpioïdes","Entomogame"
"Symphytum tuberosum","Symphytum tuberosum","Européen méridional","Blanc","Épizoochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Syringa vulgaris","Syringa vulgaris","Européen méridional","Bleu, blanc, rose","Endozoochore","4-5","Racème de racèmes","Entomogame"
"Taeniatherum caput-medusae","Taeniatherum caput-medusae","Méditerranéen","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Tagetes","Tagetes minuta","Introduit (amér. du sud)","","Anémochore","","Racème de capitules","Entomogame, autogame"
"Tagetes minuta","Tagetes minuta","Introduit (amér. du sud)","","Anémochore","","Racème de capitules","Entomogame, autogame"
"Tanacetum","Tanacetum corymbosum_Tanacetum vulgare_Vogtia annua","Eurasiatique_Européen méridional_Méditerranéen occidental","Blanc, jaune_Jaune","Anémochore","7-9_8-10","Corymbe de capitules","Entomogame, autogame"
"Tanacetum annuum","Vogtia annua","Méditerranéen occidental","Jaune","Anémochore","8-10","Corymbe de capitules","Entomogame, autogame"
"Tanacetum corymbosum","Tanacetum corymbosum","Européen méridional","Blanc, jaune","Anémochore","","Corymbe de capitules","Entomogame, autogame"
"Tanacetum vulgare","Tanacetum vulgare","Eurasiatique","Jaune","Anémochore","7-9","Corymbe de capitules","Entomogame, autogame"
"Taraxacum","Taraxacum erythrospermum","Européen","Jaune","Anémochore","","Capitule simple","Apogame"
"Taraxacum campylodes",NA,NA,NA,NA,NA,NA,NA
"Taraxacum erythrospermum","Taraxacum erythrospermum","Européen","Jaune","Anémochore","","Capitule simple","Apogame"
"Taraxacum officinale",NA,NA,NA,NA,NA,NA,NA
"Taraxacum tiroliense",NA,NA,NA,NA,NA,NA,NA
"Taxus baccata","Taxus baccata","Européen","Jaune","Endozoochore","4","Cône","Anémogame"
"Teesdalia nudicaulis","Teesdalia nudicaulis","Européen méridional","Blanc","Anémochore","4-6","Racème simple","Entomogame, autogame"
"Teloxys aristata",NA,NA,NA,NA,NA,NA,NA
"Teucrium","Teucrium botrys_Teucrium chamaedrys_Teucrium polium_Teucrium scorodonia","Européen méridional_Européen occidental_Méditerranéen(eury)","Blanc_Rose","Barochore_Épizoochore","6-10","Cyme capituliforme_Glomérules spiciformes","Entomogame_Entomogame, autogame"
"Teucrium botrys","Teucrium botrys","Européen méridional","Rose","Épizoochore","6-10","Cyme capituliforme","Entomogame, autogame"
"Teucrium chamaedrys","Teucrium chamaedrys","Européen méridional","Rose","Épizoochore","","Glomérules spiciformes","Entomogame, autogame"
"Teucrium polium","Teucrium polium","Méditerranéen(eury)","Blanc","Épizoochore","","Cyme capituliforme","Entomogame"
"Teucrium scorodonia","Teucrium scorodonia","Européen occidental","Blanc","Barochore","","Glomérules spiciformes","Entomogame"
"Thalictrum flavum","Thalictrum flavum","Eurasiatique septentrional","Jaune","Barochore","","Racème de racèmes","Entomogame, anémogame"
"Thalictrum lucidum","Thalictrum lucidum","Européen méridional","Jaune","Barochore","","Racème de racèmes","Anémogame"
